movieId,rating,rating_count
1,3.893707794587238,57309
2,3.2515271586594023,24228
3,3.142028126058963,11804
4,2.85354736424891,2523
5,3.0584343520573674,11714
6,3.854908898649748,24588
7,3.3636663369601054,12132
8,3.1145833333333335,1344
9,2.992050660199407,3711
10,3.42145763311516,28265
11,3.6571705198920315,17042
12,2.6245656241646618,3741
13,3.333527696793003,1715
14,3.4234888364494465,5509
15,2.7190217391304348,2760
16,3.8237068028689416,18404
17,3.948806325713417,19729
18,3.3843505768515074,5374
19,2.6421677802524126,21552
20,2.869921875,3840
21,3.5701620505454055,22277
22,3.3200173216412256,9237
23,3.145691333982473,4108
24,3.18758389261745,7450
25,3.677304434479322,20070
26,3.606708513142409,2549
27,3.4039315155358274,1577
28,4.03,2950
29,3.936724864539434,8305
30,3.6367924528301887,1166
31,3.244838567977158,9106
32,3.9057678412037236,47054
33,3.023076923076923,65
34,3.6031917599186163,31456
35,3.4792899408284024,1352
36,3.91868681658758,19388
37,2.993333333333333,75
38,2.870839936608558,631
39,3.4187380861608845,26230
40,3.6267252195734003,797
41,3.843413033286451,4266
42,3.0495652173913044,2300
43,3.4499566724436743,2308
44,2.6546241414996707,10629
45,3.382907947260191,8267
46,3.2634129456559364,2889
47,4.0791663372598626,50596
48,2.9777505385929723,13461
49,3.5197368421052633,228
50,4.284353213163313,55366
51,2.607142857142857,28
52,3.532892426548051,8543
53,3.6496350364963503,137
54,2.8411316648531013,919
55,3.220329024676851,851
56,1.9153846153846155,65
57,3.320438282647585,2236
58,3.9679004101879234,10483
59,3.56353591160221,181
60,3.0958892617449663,5960
61,3.3160919540229883,2088
62,3.715354676022366,18242
63,3.083904109589041,2336
64,2.81395966029724,1884
65,2.37025520051469,4663
66,2.1376975169300225,2215
67,3.2975460122699385,163
68,3.4301601423487544,1124
69,3.5583216456287987,4278
70,3.326568919110356,14118
71,2.34567387687188,1202
72,3.4868532654792195,1179
73,3.796035568729159,2699
74,3.2880989180834623,3235
75,2.429657794676806,526
76,3.010046367851623,3235
77,3.4028436018957344,211
78,3.152790079716563,1129
79,3.1199367713890536,5061
80,3.7495145631067963,515
81,3.2527435982707016,3007
82,3.9923513986013988,2288
83,3.644320297951583,537
84,3.358156028368794,141
85,3.526833265055305,2441
86,3.4766641162968632,3921
87,2.349680170575693,938
88,3.107188160676533,4730
89,3.1294022617124395,3095
90,3.3333333333333335,201
92,2.8500473036896876,2114
93,2.4919938016528924,1936
94,3.5279255319148937,3760
95,3.077245421955237,20642
96,3.7004504504504503,444
97,3.9862332695984706,2615
98,2.5963855421686746,83
99,3.1010479041916166,668
100,3.2212201591511938,3770
101,3.7673501577287065,4438
102,2.4106463878326996,1841
103,3.2552581261950286,1046
104,3.3943981240229286,19190
105,3.3332222962469467,9006
106,3.436,125
107,3.2168744804655027,6015
108,3.0739130434782607,115
109,2.0625,16
110,4.002272573668559,59184
111,4.083479216009336,29133
112,3.40623288921336,10958
113,3.101010101010101,990
114,3.5891304347826085,230
115,3.5348837209302326,43
116,3.9114285714285715,875
117,3.574430823117338,1142
118,2.9854368932038833,1030
119,2.733739837398374,246
120,2.841549295774648,142
121,3.74869109947644,764
122,2.8593924191750277,3588
123,3.9913693901035674,2607
124,3.4966442953020134,298
125,3.744196843082637,3231
126,2.318660647103085,1329
127,3.1097560975609757,41
128,3.4859154929577465,71
129,3.13953488372093,172
130,3.2261904761904763,42
131,3.3106508875739644,169
132,2.777922077922078,1925
133,2.6,20
134,3.4516129032258065,31
135,3.0018543492919756,5932
136,3.6277777777777778,90
137,3.254854368932039,206
138,3.227642276422764,123
139,3.111111111111111,36
140,3.287283110037338,4553
141,3.5101652454593633,20757
142,3.0135135135135136,37
143,1.9285714285714286,14
144,3.4649743714913352,4097
145,3.275515786183182,12796
146,2.9029038112522687,551
147,3.5833728090952155,4222
148,2.908955223880597,335
149,3.68669314796425,1007
150,3.87355561527172,48377
151,3.53139284174213,11595
152,3.0869905956112853,638
153,2.8716600752387382,31101
154,3.786777431637245,2889
155,3.408390410958904,1168
156,3.5088757396449703,1521
157,2.7942023026315788,2432
158,2.921479069028517,12589
159,3.4178361249434133,2209
160,2.6022161264708004,13853
161,3.739861235452104,22340
162,4.008077401029647,5633
163,3.4392585818795722,14216
164,3.4522562951882323,4011
165,3.506566659749192,33731
166,2.84407027818448,683
167,3.076388888888889,72
168,3.081881687151826,11309
169,2.269546027742749,3172
170,3.215710400207227,7721
171,3.599845797995374,1297
172,2.7515630141493914,12156
173,2.555359804851606,14758
